max_depth,min_samples_leaf,min_samples_split,IC_mean,IC_std,ICIR,N_months
3,5,50,0.024385018615851108,0.12711341814836277,0.1918366996267041,279
3,10,50,0.02571318915019013,0.12739035367823923,0.20184565320492118,279
3,15,50,0.02585783700581838,0.12715960348801594,0.20334946238060053,279
3,25,50,0.026255378103241477,0.12606691051312657,0.20826542029446868,279
3,50,50,0.02820865898669045,0.12915528605987744,0.21840886151274277,279
3,100,50,0.02851340355248379,0.12902742953392032,0.22098714711655815,279
5,5,50,0.024753044695475714,0.11400478320795947,0.21712286097963943,279
5,10,50,0.02782284242688308,0.11270663873776247,0.246860723897722,279
5,15,50,0.026179557479358878,0.11229387738680721,0.2331343265419613,279
5,25,50,0.026520876276978602,0.11174419901181874,0.23733559783424277,279
5,50,50,0.030386692643982444,0.11864698784479945,0.2561101060882462,279
5,100,50,0.027485648178681467,0.12543923674644133,0.21911523771656896,279
10,5,50,0.01748623750988752,0.0931875988462903,0.18764554217917406,279
10,10,50,0.020645420654388676,0.09585278525014719,0.21538675793833517,279
10,15,50,0.020067071588089663,0.09614497249359276,0.20871680616921454,279
10,25,50,0.019333603808348167,0.09938505663921483,0.19453230155648588,279
10,50,50,0.025956949388384075,0.11326863229935515,0.22916273341928445,279
10,100,50,0.026943477781547136,0.12426656393936775,0.21682001117125457,279
