Month,IC,N_train,N_test,jb_p,bp_p,dw
2001-10-01,0.4218171389078405,738,730,0.0,7.674901484329626e-11,2.004789981204697
2001-11-01,-0.18001172298728507,730,731,0.0,0.0005955486653573605,1.9974428553724919
2001-12-01,0.15721349492251116,731,729,0.0,0.0017568974238043227,2.024032273465164
2002-01-01,0.08805552363414866,729,710,0.0,0.08117211956283012,1.9587294940095705
2002-02-01,0.01171481087043405,710,709,0.0,0.5594276547303365,1.8419777625649674
2002-03-01,-0.14636266327464734,709,708,0.0,0.3587090821571581,1.9762141979348158
2002-04-01,0.14627902474318377,708,697,0.0,0.5244349156233401,1.8921671904541038
2002-05-01,0.3012181862826406,697,698,0.0,0.0010167954415584832,1.925099133944159
2002-06-01,-0.2575168519241937,698,698,0.0,3.901020837356849e-05,1.8702841584297099
2002-07-01,0.16721678510353247,698,698,3.591411168043868e-77,0.9419998650001347,1.9755585378221672
2002-08-01,-0.045124498067011645,698,696,9.795266659019822e-59,5.448028433228732e-12,1.9345249533400075
2002-09-01,0.061074317001050794,696,773,4.756372772720977e-87,0.00043790921601370166,2.0549005990699123
2002-10-01,0.09116894394663118,773,764,2.606670594169932e-37,5.869446859001497e-05,2.076870444358309
2002-11-01,-0.23521020662230802,764,764,0.0,0.48976457919726213,1.876782301305733
2002-12-01,0.24807401968194628,764,763,0.0,0.5666427133068115,1.8379448825498637
2003-01-01,-0.024599134865882184,763,737,2.620806136946591e-121,0.015016638085181772,1.9522220412103894
2003-02-01,0.38953360749100396,737,734,1.594428174334154e-124,0.06968696305156481,2.037714301988339
2003-03-01,-0.14388741182954393,734,787,0.0,0.4922344732228018,1.9272001983803018
2003-04-01,0.21554262010614073,787,767,0.0,0.8782110791383885,1.9293362974654156
2003-05-01,-0.047805542653058045,767,766,8.458809170946798e-148,0.06834697780235242,2.0011784888220285
2003-06-01,-0.09183301122549063,766,767,8.828770334495986e-204,0.1309691461579794,1.9448447909413589
2003-07-01,-0.03472085057720706,767,768,0.0,0.6539064173368678,1.9376693579455635
2003-08-01,-0.3120419054520512,768,767,1.712313495087659e-137,0.0007831818882521901,1.9225694265402915
2003-09-01,0.27763383014939674,767,907,2.5516348369014637e-144,0.003871207878929783,1.9181881459166514
2003-10-01,-0.052390691919372144,907,898,1.9161570265931581e-206,0.25511975046024676,1.9685061098386571
2003-11-01,0.3677407057705405,898,898,0.0,0.032017953576733885,1.8618437649223074
2003-12-01,-0.10880425737717302,898,897,0.0,0.00043560280580785636,1.9276545668890992
2004-01-01,0.241961561955826,897,884,0.0,0.35965830108515057,1.9325349195603376
2004-02-01,0.16455148883864998,884,884,0.0,0.38084089992944037,2.019799937031672
2004-03-01,-0.058642454429790984,884,901,2.0823358753909727e-221,0.15176871712452614,1.8929405981657281
2004-04-01,0.01759919041029941,901,880,0.0,0.00014755940830142597,1.8984011179785651
2004-05-01,-0.0584965021239024,880,879,0.0,0.7289388292932664,1.9595875208980527
2004-06-01,0.06444029141343857,879,879,2.1808315108886034e-250,0.956657264747365,2.0679728085668225
2004-07-01,0.08375136140651934,879,879,0.0,0.38990883229086626,1.8898212296499484
2004-08-01,0.23507873718016223,879,879,0.0,5.242458919130641e-15,1.978205893551233
2004-09-01,-0.12296485866419464,879,1046,0.0,1.9563237863488098e-07,2.016535217884869
2004-10-01,0.06949799980431552,1046,1046,0.0,0.21884597086663102,1.9945141964824518
2004-11-01,0.09401735229942912,1046,1046,0.0,1.6148708562161009e-16,2.0167681481059265
2004-12-01,-0.08127733442292692,1046,1044,0.0,8.574874236210384e-06,1.9754652430132937
2005-01-01,0.04208284297710067,1044,1044,0.0,3.189435661037947e-06,1.962838107847853
2005-02-01,0.02675971028326111,1044,1044,0.0,0.0024742587347351135,2.0655495093958063
2005-03-01,0.11760547829065308,1044,1063,0.0,0.9062462028328011,1.999690986566595
2005-04-01,-0.09409465021024388,1063,1058,0.0,0.7838328755545539,1.9105066842937604
2005-05-01,0.009611872031721145,1058,1058,0.0,4.2196937283068033e-05,1.8927017568114637
2005-06-01,0.0051443201298454165,1058,1059,0.0,0.9885123611590365,2.021702865329445
2005-07-01,0.2953681779993332,1059,1058,0.0,0.19582665207452662,1.9627029063772357
2005-08-01,-0.4048976211834924,1058,1060,0.0,8.880814486017908e-06,1.994037301277284
2005-09-01,0.3196568631977577,1060,1271,3.739857574093581e-185,8.162625895711568e-08,1.9724703185829515
2005-10-01,0.09747899336052633,1271,1294,0.0,0.011747158714542882,1.9862592451101577
2005-11-01,0.20015048191138443,1294,1294,0.0,0.00017123356923165792,2.000867000647855
2005-12-01,0.1270389690468799,1294,1294,0.0,0.0012145526499264892,1.9195395381657279
2006-01-01,0.12242826957920913,1294,1294,0.0,0.18064885077716147,2.0039330119507146
2006-02-01,0.3570221617442953,1294,1294,0.0,0.29074141301586026,2.0815172391547874
2006-03-01,-0.017472762661523655,1294,1322,0.0,0.003939211199882964,1.998791994944189
2006-04-01,-0.12190093183056154,1322,1292,0.0,0.6518859820212068,1.9548736450903337
2006-05-01,0.052456930395802286,1292,1294,0.0,0.8549979716775484,1.8636130504092088
2006-06-01,0.06714974363840986,1294,1294,4.543726741839224e-45,0.02296237183525051,2.0797282404139397
2006-07-01,0.03286970835427571,1294,1294,5.420366801656221e-116,0.12873982883084437,2.058376967175783
2006-08-01,-0.14948465528947316,1294,1298,6.05941332403459e-181,0.034467376463611525,2.0784898641555953
2006-09-01,0.06081589051085807,1298,1601,0.0,0.0705298180326622,1.9567940052517827
2006-10-01,0.06191970162178614,1601,1614,0.0,0.48068143419091014,1.914378856844192
2006-11-01,0.06548815196066085,1614,1615,0.0,0.17286181141254128,2.000078921604424
2006-12-01,0.29405011243415347,1615,1611,0.0,0.19193541681686482,2.058388685423885
2007-01-01,-0.09681475045552905,1611,1578,0.0,0.03827560432981115,1.9534794937186681
2007-02-01,0.07464191616902889,1578,1578,0.0,3.454651717289342e-05,1.94999491317454
2007-03-01,0.06419569968296965,1578,1576,0.0,1.5661541440517415e-05,2.029001448669571
2007-04-01,-0.13392072256558896,1576,1546,0.0,3.557592209156259e-33,1.8789450609739085
