co_code,status,reason,N,features_used,R²,Adj R²,F-stat,F p-value,AIC,BIC,pre_fails,pre_warns,post_fails,post_warns,coef_const,pval_const,coef_lag_ret,pval_lag_ret,coef_Momentum,pval_Momentum,coef_BM_sep,pval_BM_sep,coef_OpProf,pval_OpProf,coef_Inv,pval_Inv,coef_mktcap,pval_mktcap
194,OK,,172.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.226615,0.198492,7.4675,0.0,-217.5986,-195.5661,1.0,0.0,1.0,1.0,-0.573494,0.051701,-0.137679,0.056622,-0.11101,0.000344,0.23136,0.000133,0.34979,1e-06,0.367104,0.007073,0.179292,0.0
241,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
2767,OK,,79.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.36903,0.316449,2.3506,0.039545,-42.7616,-26.1755,1.0,0.0,1.0,1.0,0.013561,0.978431,-0.163785,0.113984,-0.040717,0.15608,0.158192,0.011458,-0.03374,0.760886,-0.034401,0.852552,0.173049,0.016775
3033,OK,,202.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.169537,0.143984,4.9374,0.0001,-92.4475,-69.2896,1.0,0.0,1.0,2.0,-0.409758,0.14769,-0.00334,0.970268,-0.051152,0.009172,0.048558,0.000169,-0.436894,0.000914,-0.530546,0.000322,0.186743,0.0
3042,OK,,97.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.161647,0.105756,1.6479,0.143199,-32.9813,-14.9583,1.0,0.0,2.0,2.0,-0.720214,0.402296,-0.02729,0.864,-0.13621,0.04013,0.317152,0.040347,0.114016,0.140281,0.23717,0.009363,0.147747,0.059767
3379,OK,,64.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.331141,0.260735,2.4012,0.038768,19.0198,34.132,1.0,0.0,1.0,2.0,-1.252298,0.208219,-0.309003,0.001521,-0.03633,0.276994,0.233842,0.06867,0.034758,0.598203,-0.478058,0.006807,0.500963,0.011405
3460,SKIPPED,Insufficient obs (15) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3468,OK,,72.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.070629,-0.015159,0.812,0.564467,-87.9612,-72.0245,1.0,0.0,0.0,2.0,0.429398,0.211984,-0.052222,0.743453,-0.004727,0.915528,0.101001,0.292456,0.111817,0.232225,0.104903,0.391684,0.065914,0.042692
4243,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4419,OK,,43.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.618516,0.554935,3.0008,0.017569,-16.7106,-4.3822,1.0,0.0,1.0,2.0,-4.729849,0.001242,0.038711,0.776045,-0.391893,0.001501,0.713219,0.000538,-7.084647,0.00093,1.484062,0.003299,0.830858,6e-05
4646,OK,,40.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.613607,0.543354,5.5781,0.000441,-34.8535,-23.0313,1.0,0.0,1.0,2.0,-1.186889,0.130857,-0.153503,0.346074,-0.197266,0.000932,0.011222,0.97422,-1.179531,0.038879,-1.272163,0.210957,0.378892,7e-06
4668,OK,,280.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.045117,0.024131,2.598,0.018262,-244.5141,-219.0705,1.0,0.0,1.0,2.0,0.68445,0.0,-0.026089,0.684294,-0.028727,0.086843,0.042338,0.001379,0.385999,0.033448,-0.084907,0.385905,0.032197,0.000403
4886,SKIPPED,Insufficient obs (34) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
4919,OK,,76.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.751419,0.729803,21.1756,0.0,-152.4205,-136.1053,1.0,0.0,1.0,2.0,-5.283369,0.0,-0.291702,2.9e-05,-0.219142,0.0,0.341908,0.0,0.52724,0.001387,0.025227,0.805123,0.952853,0.0
82,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
227,OK,,196.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.118651,0.090672,4.2653,0.000469,-355.0583,-332.1115,1.0,0.0,2.0,2.0,0.014116,0.962973,-0.016092,0.888802,-0.052949,0.045387,0.448254,0.000651,0.44512,0.000977,0.028059,0.457291,0.06777,0.000421
263,SKIPPED,Insufficient obs (34) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
519,OK,,180.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.228822,0.202076,7.4488,0.0,-284.4718,-262.1211,1.0,0.0,2.0,2.0,-0.523696,0.0457,-0.130336,0.106563,-0.094827,3.5e-05,0.093678,3e-06,-1.050994,2.8e-05,-0.011275,0.466361,0.182927,0.0
720,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
956,SKIPPED,Insufficient obs (28) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
1290,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
1551,OK,,91.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.098876,0.03451,2.4849,0.029143,-64.629,-47.053,1.0,0.0,1.0,2.0,0.013292,0.969931,-0.123997,0.265164,-0.028762,0.526736,0.052764,0.002003,-0.104182,0.163232,-0.058667,0.191239,0.164712,0.002046
1857,OK,,232.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.139659,0.116716,5.9117,9e-06,-287.8722,-263.7451,1.0,0.0,2.0,2.0,0.139635,0.484374,-0.065464,0.463013,-0.055667,0.017708,0.086437,0.0,0.259495,9.9e-05,0.139929,0.049698,0.103612,1e-06
2073,OK,,105.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.268027,0.223212,4.604,0.000369,-111.9715,-93.3938,1.0,0.0,0.0,2.0,-0.95849,0.066067,-0.123408,0.242959,-0.191071,6.8e-05,0.409227,0.000187,-0.004807,0.944441,0.361465,0.08306,0.278014,2.5e-05
2177,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
2650,OK,,85.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.106378,0.037638,1.3782,0.233916,-13.2359,3.8627,1.0,1.0,2.0,2.0,-0.286843,0.693631,-0.121677,0.253721,-0.062626,0.422172,0.158227,0.040288,-0.014345,0.30926,-0.037329,0.080939,0.124623,0.053753
2733,OK,,103.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.406662,0.369578,6.3446,1.2e-05,-22.6038,-4.1607,1.0,0.0,2.0,2.0,-1.610787,0.007645,-0.277665,0.000398,-0.160327,0.017464,0.105856,7.1e-05,0.263466,0.001885,-0.256627,0.048815,0.514899,2.5e-05
2751,OK,,238.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.140917,0.118603,4.343,0.000356,-60.3448,-36.0389,1.0,0.0,1.0,1.0,-0.496368,0.127615,-0.12207,0.01544,-0.022141,0.208164,0.451327,2e-06,0.098165,3e-06,0.126537,0.072612,0.180547,5e-06
2815,OK,,85.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.325784,0.273921,4.2753,0.000893,24.4678,41.5664,1.0,0.0,2.0,2.0,-1.189828,0.076859,-0.222362,0.021255,-0.09474,0.151318,0.254553,3.8e-05,-4.650697,0.026333,-1.35499,0.223533,0.347489,0.005647
2821,SKIPPED,Insufficient obs (24) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
2836,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
2850,SKIPPED,Insufficient obs (16) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
2851,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
2904,OK,,244.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.077952,0.054609,1.0952,0.36586,-208.7716,-184.2914,1.0,0.0,2.0,2.0,0.728665,0.000125,-0.026909,0.842651,-0.022841,0.240809,0.155426,0.022466,0.065619,0.045974,-0.077483,0.483693,0.028311,0.040789
3089,SKIPPED,Insufficient obs (7) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3134,SKIPPED,Insufficient obs (16) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3311,OK,,172.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.087789,0.054618,2.4101,0.029324,-63.1766,-41.1442,1.0,0.0,1.0,2.0,0.523369,0.00282,0.010057,0.907603,-0.034407,0.132566,0.087652,0.077954,-0.290764,0.402795,0.059829,0.415985,0.065361,0.001578
3357,SKIPPED,Insufficient obs (4) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3368,OK,,280.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.113007,0.093512,4.6976,0.000144,-315.8482,-290.4047,1.0,0.0,1.0,2.0,0.418379,0.002555,0.01202,0.86542,0.001259,0.885812,0.131705,2e-06,0.134444,0.010278,0.102367,0.333437,0.047156,2e-06
3376,OK,,280.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.054714,0.033938,3.2828,0.003907,-310.6513,-285.2078,1.0,0.0,2.0,1.0,0.885976,0.0,-0.126576,0.065468,-0.003334,0.81087,0.07277,0.004073,0.048762,0.463819,0.10579,0.386951,0.017941,0.04007
3395,OK,,244.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.068235,0.044646,2.0918,0.054952,-118.6155,-94.1354,1.0,0.0,1.0,2.0,0.221029,0.439464,-0.021561,0.756374,-0.0128,0.345013,0.017646,0.10227,-0.016377,0.708046,-0.210533,0.021865,0.118032,0.002822
3399,SKIPPED,Insufficient obs (34) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3489,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
3503,OK,,117.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.176088,0.131148,2.3069,0.038932,-99.065,-79.7298,1.0,0.0,2.0,2.0,-0.700582,0.200142,-0.202975,0.072295,-0.067136,0.036275,0.019204,0.012246,-0.316082,0.076852,-0.052843,0.584204,0.19689,0.001061
3512,OK,,40.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.46632,0.369287,4.4996,0.001959,-56.6471,-44.8249,1.0,0.0,1.0,1.0,-3.271758,0.017773,-0.013759,0.946533,-0.20551,0.000691,0.049192,0.899413,-0.350098,0.00548,0.720111,0.213422,0.661404,0.00652
3526,OK,,58.0,lag_ret|Momentum|BM_sep|OpProf|Inv|mktcap,0.485595,0.425077,5.6395,0.00015,-6.7582,7.6649,1.0,0.0,1.0,2.0,-1.978186,0.000295,-0.247031,0.031307,-0.253984,2e-06,0.082888,0.284794,-0.342689,0.696379,1.245957,0.001437,0.847102,0.0
3611,SKIPPED,Insufficient obs (0) or features (6),,,,,,,,,,,,,,,,,,,,,,,,,,
